334,simple,,"Suomen Ilmavoimissa palvelleiden lento-onnettomuuksissa surmansa saaneiden muotokuvat 1927",1,0,hidden,"Suomen Ilmavoimissa palvelleiden lento-onnettomuuksissa surmansa saaneiden muotokuvat 1927\n\nValokuvakansio jossa 20x3 =60 valokuvaa henkilötietoineen sekä  4 valokuvaa ilman tietoja .\n\nKannessa valokuva  Utin onnettomuudesta 11/3 1920\n\nkannen reunoissa pientä kulumaa",,,,taxable,,1,1,,0,1,,,,,0,,,1565,"Tietokirjallisuus > Ilmailu","ilmailu ilmavoimat ilmasota lentokoneet",,"https://kirjapino.fi/wp-content/uploads/2015/05/IMG_90231.jpg, https://kirjapino.fi/wp-content/uploads/2015/05/IMG_90241.jpg, https://kirjapino.fi/wp-content/uploads/2015/05/IMG_90251.jpg",,,,,,,,,13202,4,Tekijä,Strömberg,1,1,Painovuosi,1927,1,1,Sivumäärä,26,1,1,Sidosasu,valokuvakansio,1,1,Kuntoluokka,K3,1,1,Kustantaja,"Weiln &amp; Göös",1,1,Varastopaikka,123,1,1,,,,,,,,,,,,,,,,
369,simple,,"Luhtakanta, Arvid : Suomen Punakaarti",1,0,hidden,"Punakaartin alkuhistoria , sotatapahtumat , häviön syyt sekä muistelmia, perustuu punakaartin johtohenkilöiden aineistoihin , muistelmatietoihin sekä asiakirjoihin\n\nkovakantinen kansikuva sisäsivulla, viimeisellä tyhjällä sivulla himmeä rasvaläikkä , oimistajan nimi",,,,taxable,,0,0,,0,1,,,,,0,,,69,"Tietokirjallisuus > Suomi 1918","punakaarti 1918",,https://kirjapino.fi/wp-content/uploads/2015/05/IMG_90331.jpg,,,,,,,,,7218,4,Tekijä,"Luhtakanta Arvid",1,1,Painovuosi,1938,1,1,Sivumäärä,328,1,1,Sidosasu,Sidottu,1,1,Kuntoluokka,K3,1,1,Varastopaikka,123,1,1,Kustantaja,Täckman,1,1,,,,,,,,,,,,,,,,
882,simple,,"Karjalan jumalat",1,0,visible,,"Uskontieteellinen tutkimus Karjalan jumalista, 1.p ,Kansipaperissa pientä kulumaa, omist. Nimi",,,taxable,,1,1,,0,1,,,,,1,,,89,"Tietokirjallisuus > Kansanperinne ja -runous",,,https://kirjapino.fi/wp-content/uploads/2015/05/haavio1.jpg,,,,,,,,,4815,4,Sidosasu,"Sidottu kansipaperein",1,1,Sivumäärä,346,1,1,Tekijä,"Martti Haavio",1,1,Varastopaikka,Varasto,1,1,Painovuosi,1959,1,1,Painopaikka,Helsinki,1,1,Identifiointinumero,10001,1,1,Kieli,Suomi,1,1,Kuntoluokka,K3,1,1,Kustantaja,WSOY,1,1,Hylly,Hylly,1,1
919,simple,,"Kolmas Valtakunta synty,nousu ja tuho",1,0,visible,,"Kolmannen valtakunnan synty , nousu ja tuho, valokuvia, 1.p",,,taxable,,1,1,,0,1,,,,,1,,,31,"Tietokirjallisuus > Kolmas valtakunta",,,https://kirjapino.fi/wp-content/uploads/2015/05/hegner1.jpg,,,,,,,,,5705,4,Sidosasu,nidottu,1,1,Sivumäärä,316,1,1,Tekijä,"H. S. Hegner",1,1,Varastopaikka,Varasto,1,1,Painovuosi,1960,1,1,Painopaikka,Helsinki,1,1,Identifiointinumero,10001,1,1,Kieli,Suomi,1,1,Kuntoluokka,"Normaali käytetty kirja",1,1,Kustantaja,Tammi,1,1,Hylly,Hylly,1,1
923,simple,,"Harley-Davidson Design and Development",1,0,visible,,"Harleyn suunnittelu ja kehitys vuodesta 1903 nykypäivään , detaljitedot 50 klassikosta , yli 200 värikuvaa",,,taxable,,1,1,,0,1,,,,,1,,,35,"Tietokirjallisuus > Ajoneuvot ja liikenne",,,https://kirjapino.fi/wp-content/uploads/2015/05/harley1.jpg,,,,,,,,,2607,4,Sidosasu,"Sidottu kuvakannella",1,1,Sivumäärä,256,1,1,Tekijä,"John Tipler",1,1,Varastopaikka,Varasto,1,1,Painovuosi,2002,1,1,Painopaikka,Italia,1,1,Identifiointinumero,10001,1,1,Kieli,Englanti,1,1,Kuntoluokka,"Normaali käytetty kirja",1,1,Kustantaja,Silverdale,1,1,Hylly,Hylly,1,1
925,simple,,Valokuvaaja,1,0,visible,,"Vanhaa valokuvaustekniikkaa , pieni maaliläikkä kannessa, omist. Nimi",,,taxable,,1,1,,0,1,,,,,1,,,47,"Tietokirjallisuus > Rakentaminen ja tekniikka",,,https://kirjapino.fi/wp-content/uploads/2015/05/valokuva1.jpg,,,,,,,,,15834,4,Sidosasu,"Sidottu kuvakannella",1,1,Sivumäärä,576,1,1,Tekijä,"E. Pirinen",1,1,Varastopaikka,Varasto,1,1,Painovuosi,1917,1,1,Painopaikka,Helsinki,1,1,Identifiointinumero,10001,1,1,Kieli,Suomi,1,1,Kuntoluokka,"Normaali käytetty kirja",1,1,Kustantaja,"Weilin &amp; Göös",1,1,Hylly,Hylly,1,1
1268,simple,,"Suomalainen kirjallisuus 1878-1885",1,0,visible,,"Valfrid Vaseniuksen toimittama Suomalainen kirjallisuus, aakkosellinen ja aineenmukainen luettelo 1 ja 2 lisävihko 1878-1885. Sisältää tuona aikana suomeksi ilmestyneen kirjallisuuden. Erinomaisessa kunnossa.",,,taxable,,1,1,,0,1,,,,,1,,,55,"Tietokirjallisuus > Kirja-ala",,,https://kirjapino.fi/wp-content/uploads/2015/05/kirjapino637.jpg,,,,,,,,,12959,6,Sivumäärä,74/212,1,1,Tekijä,"Valfrid Vasenius",1,1,Sidosasu,Sidottu,1,1,Painovuosi,1880/1887,1,1,Kustantaja,SKS,1,1,Painopaikka,Helsinki,1,1,Kuntoluokka,"Uutta vastaava",1,1,,,,,,,,,,,,,,,,
1269,simple,,"Suomalainen kirjallisuus 1886-1891",1,0,visible,,"Valfrid Vaseniuksen toimittama Suomalainen kirjallisuus, aakkosellinen ja aineenmukainen luettelo 3 lisävihko 1886-1891. Sisältää tuona aikana suomeksi ilmestyneen kirjallisuuden. Erinomaisessa kunnossa.",,,taxable,,1,1,,0,1,,,,,1,,,55,"Tietokirjallisuus > Kirja-ala",,,https://kirjapino.fi/wp-content/uploads/2015/05/kirjapino638.jpg,,,,,,,,,12960,6,Sivumäärä,266,1,1,Tekijä,"Valfrid Vasenius",1,1,Sidosasu,Sidottu,1,1,Painovuosi,1892,1,1,Kustantaja,SKS,1,1,Painopaikka,Helsinki,1,1,Kuntoluokka,"Uutta vastaava",1,1,,,,,,,,,,,,,,,,
1271,simple,,"Suomalainen kirjallisuus 1892-1895",1,0,visible,,"Valfrid Vaseniuksen toimittama Suomalainen kirjallisuus, aakkosellinen ja aineenmukainen luettelo 4 lisävihko 1892-1895. Sisältää tuona aikana suomeksi ilmestyneen kirjallisuuden. Erinomaisessa kunnossa.",,,taxable,,1,1,,0,1,,,,,1,,,50,"Tietokirjallisuus > Kirja-ala",,,https://kirjapino.fi/wp-content/uploads/2015/05/kirjapino639.jpg,,,,,,,,,12961,6,Sivumäärä,288,1,1,Tekijä,"Valfrid Vasenius",1,1,Sidosasu,Jälkisidos,1,1,Painovuosi,1897,1,1,Kustantaja,SKS,1,1,Painopaikka,Helsinki,1,1,Kuntoluokka,"Uutta vastaava",1,1,,,,,,,,,,,,,,,,
1274,simple,,Pulpografia,1,0,visible,,"Amerikkalaisia kioskidekkareita suomeksi 1936-89 Juri Nummelin toimittamana.",,,taxable,,1,1,,0,1,,,,,1,,,20,"Tietokirjallisuus > Kirja-ala",,,https://kirjapino.fi/wp-content/uploads/2015/05/kirjapino641.jpg,,,,,,,,,10854,6,Sivumäärä,303,1,1,Tekijä,"Juri Nummelin",1,1,Sidosasu,"Nidottu kuvakannella",1,1,Painovuosi,2000,1,1,Kustantaja,"Suomen Dekkariseura",1,1,Kuntoluokka,"Uutta vastaava",1,1,,,,,,,,,,,,,,,,,,,,
