category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Tietokirjallisuus->Tekniikka,Tekniikka,"Vesivoimalat - Niiden merkitys ja käyttö","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.",Vesivoimat.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Jalm. Maunola",,WSOY,,"1. p",1930,268,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833287,instock,simple,yes,Tietokirjallisuus->Tekniikka,7,
Kaunokirjallisuus->Scifi,Scifi,"Maailma, vihreä metsä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Maailma, vihreä metsä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Ursula K. LeGuin",,WSOY,,"1. p",1984,173,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,30,,published,yes,1,,no,833288,instock,simple,yes,Kaunokirjallisuus->Scifi,7,
"Harrastekirjallisuus->Ruoka ja gastronomia","Ruoka ja gastronomia","Ruokatalous II - Keittiökirja","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.",Keittiökirja.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Carl Tigerstedt / Katri Laine",,WSOY,,"1. p",1927,673,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833289,instock,simple,yes,"Harrastekirjallisuus->Ruoka ja gastronomia",7,
Kaunokirjallisuus->Romaanit,Romaanit,"Taistelu ja voitto - Kuvaelmia Rooman keisariajalta","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Taistelu ja voitto.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Viktor Schultze",,WSOY,,"1. p",1886,181,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833290,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Harrastekirjallisuus->Antiikkiesineet,Antiikkiesineet,"Suomalaista hopeaa","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Suomalaista hopeaa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Raimo Fagerström",,WSOY,,"1. p",1983,240,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833291,instock,simple,yes,Harrastekirjallisuus->Antiikkiesineet,7,
"Harrastekirjallisuus->Maa- ja metsätalous","Maa- ja metsätalous","Pienwiljelijän Juurikaswiwiljelys-Opas","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Pienviljelijän juurikasviljelyopas.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Wäinö Selander",,WSOY,,"1. p",1910,54,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833292,instock,simple,yes,"Harrastekirjallisuus->Maa- ja metsätalous",7,
Tietokirjallisuus->Merisota,Merisota,"Kaapparilaiva Möwen seikkailut","Kannen ja selän alaosassa kuvan mukainen mustuma. Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Kaapparilaiva Möwen seikkailut.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Nikolaus zu Dohna-Schlodien",,WSOY,,"1. p",1938,162,"Nidottu kuvakannella",Suomi,"Kulunut käytetty",,,,17,,published,yes,1,,no,833293,instock,simple,yes,Tietokirjallisuus->Merisota,7,
Tietokirjallisuus->Tekniikka,Tekniikka,"Nykyajan sääoppi ja ilmatieteen perusteet","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Nykyajan sääoppi ja ilmatieteen perusteet.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"G. Melander",,WSOY,,"1. p",1918,384,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833294,instock,simple,yes,Tietokirjallisuus->Tekniikka,7,
Harrastekirjallisuus->Urheilu,Urheilu,"Mattohyppyjä ja iloisia temppuja","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Mattohyppyjä ja iloisia temppuja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Unto Merta",,WSOY,,"1. p",1952,70,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833295,instock,simple,yes,Harrastekirjallisuus->Urheilu,7,
Tietokirjallisuus->Venäjä,Venäjä,"Helvetti Vienanmeressä - Neuvostovankila kaukaisessa pohjolassa","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Helvetti Vienanmeressä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"S.A. Malsagov",,WSOY,,"1. p",1926,"                                                                                           181","Nidottu kuvakannella",Suomi,"Kulunut käytetty",,,,20,,published,yes,1,,no,833296,instock,simple,yes,Tietokirjallisuus->Venäjä,7,
