category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
"Tietokirjallisuus->Lääketiede ja terveys","Lääketiede ja terveys","Mitä teet sairauden tai tapaturman sattuessa?","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Mitä teet.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Berrit Kihlman (ym.)",,WSOY,,"5. p",1953,,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833345,instock,simple,yes,"Tietokirjallisuus->Lääketiede ja terveys",7,
Harrastekirjallisuus->Elämänhallinta,Elämänhallinta,"Kukkien puhjetessa - Kirjanen tytöille","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Kukkien puhjetessa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Fanny Lukka",,WSOY,,"1. p",1922,18,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,10,,published,yes,1,,no,833346,instock,simple,yes,Harrastekirjallisuus->Elämänhallinta,7,
Tietokirjallisuus->Elämäkerrat,Elämäkerrat,"Kreivi N. L. Zinzendorfin elämänvaiheet","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Kreivi N. I. Zinzendorfin.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"A. Meurman",,WSOY,,"1. p",1908,138,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833347,instock,simple,yes,Tietokirjallisuus->Elämäkerrat,7,
"Tietokirjallisuus->Lääketiede ja terveys","Lääketiede ja terveys","Kuulovikainen suullisen keskustelun seuraajana ja ""silminkuulo""-ongelma","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.",Kuulovikainen.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Karl Brauckmann",,WSOY,,"1. p",1933,91,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833348,instock,simple,yes,"Tietokirjallisuus->Lääketiede ja terveys",7,
"Harrastekirjallisuus->Maa- ja metsätalous","Maa- ja metsätalous","Mehiläishoidon käsikirja","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Mehiläishoidon käsikirja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Matti Järvi",,WSOY,,"2. p",1929,168,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833349,instock,simple,yes,"Harrastekirjallisuus->Maa- ja metsätalous",7,
Tietokirjallisuus->Meri,Meri,"Syvyyksien metsästäjät","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Syvyyksien metsästäjät.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Clive Cussler / Graig Dirgo",,WSOY,,"1. p",1999,537,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833350,instock,simple,yes,Tietokirjallisuus->Meri,7,
"Harrastekirjallisuus->Erä ja retkeily","Erä ja retkeily","Tapion taloissa - Eränkäyntejä Lapissa ja Perä-Pohjolassa","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Tapion taloissa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"A.E. Järvinen",,WSOY,,"2. p",1979,209,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833351,instock,simple,yes,"Harrastekirjallisuus->Erä ja retkeily",7,
"Harrastekirjallisuus->Pelit ja ajanviete","Pelit ja ajanviete","Taikurin kirja","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Taikurin kirja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Ilmari Jäämaa / Seppo Launis",,WSOY,,"3. p",1938,202,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,18,,published,yes,1,,no,833352,instock,simple,yes,"Harrastekirjallisuus->Pelit ja ajanviete",7,
Kaunokirjallisuus->Scifi,Scifi,"Säätiö veitsen terällä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Säätiö veitsen terällä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Isaac Asimov",,WSOY,,"1. p",1984,453,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,30,,published,yes,1,,no,833353,instock,simple,yes,Kaunokirjallisuus->Scifi,7,
Kaunokirjallisuus->Scifi,Scifi,"Kohti Säätiötä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Kohti säätiötä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Isaac Asimov",,WSOY,,"1. p",1995,357,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,60,,published,yes,1,,no,833354,instock,simple,yes,Kaunokirjallisuus->Scifi,7,
