category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Harrastekirjallisuus->Musiikki,Musiikki,"Oppikirja kontrapunktissa","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Oppikirja kontrapunktissa.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Max Loewengard (suom. Heikki Klemetti)",,"Yrjö Weilin",,"1. p",1908,98,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833455,instock,simple,yes,Harrastekirjallisuus->Musiikki,7,
Harrastekirjallisuus->Musiikki,Musiikki,"Sointuoppi / Sointuopillisia harjoitustehtäviä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.",Sointuoppi.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Max Loewengard",,"Yrjö Weilin",,"1. p",1905,113+31,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833456,instock,simple,yes,Harrastekirjallisuus->Musiikki,7,
Harrastekirjallisuus->Urheilu,Urheilu,"Urheilun henki","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Urheilun henki.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Afred Liukku",,WSOY,,"1. p",1929,120,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833457,instock,simple,yes,Harrastekirjallisuus->Urheilu,7,
Harrastekirjallisuus->Musiikki,Musiikki,"Wiisu-kirja [ Viisu-kirja ] Melkein viisi tusinaa vitsilauluja vuosikymmenen tuolta ja tältä puolen","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.",Viisu-kirja.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Tatu Pekkarinen",,Kirja,,"1. p",1930,148,"Nidottu kuvakannella",Suomi,"Kulunut käytetty",,,,20,,published,yes,1,,no,833458,instock,simple,yes,Harrastekirjallisuus->Musiikki,7,
"Tietokirjallisuus->Lääketiede ja terveys","Lääketiede ja terveys","Sukupuolinen puhtaus - Esitelmä nuorille miehille","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Sukupuolinen puhtaus.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Fritz Schultze",,WSOY,,"1. p",1900,41,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,12,,published,yes,1,,no,833459,instock,simple,yes,"Tietokirjallisuus->Lääketiede ja terveys",7,
"Tietokirjallisuus->Lääketiede ja terveys","Lääketiede ja terveys","Sokeritautisen keittokirja","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Sokeritautisen keittokirja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Ingeborg Schager / Gertrud Bergström",,WSOY,,"1. p",1927,237,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833460,instock,simple,yes,"Tietokirjallisuus->Lääketiede ja terveys",7,
Tietokirjallisuus->Meri,Meri,"Väinämöisen valtaus ja retket","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Väinämöisen valtaus ja retket.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Th. Segersven",,WSOY,,"1. p",1920,86,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833461,instock,simple,yes,Tietokirjallisuus->Meri,7,
Tietokirjallisuus->Kirjallisuustutkimus,Kirjallisuustutkimus,"Eurooppalainen kirjallisuus 1-4 [ 1. Ateena Rooma / 2. Trubaduurirunous, italialaiset suurmestarit / 3. Renessanssin miehiä / 4. Klassismi Ranskassa, 18:s vuosisata ]","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Euroopan kirjallisuus 1-4.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Erik Lie",,WSOY,,"1. p",1914,500,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833462,instock,simple,yes,Tietokirjallisuus->Kirjallisuustutkimus,7,
"Kaunokirjallisuus->Jännitys ja kauhu","Jännitys ja kauhu","Ulapan vankeja - Kertomus Suomenlahden jääkentiltä","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Ulapan vankeja.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Kalervo Reponen",,Kirja,,"1. p",1929,157,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833463,instock,simple,yes,"Kaunokirjallisuus->Jännitys ja kauhu",7,
Tietokirjallisuus->Paikallishistoria,Paikallishistoria,"Orisbergin kartano ja ruukki","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Orisbergin kartano ja ruukki.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Niilo Liakka",,WSOY,,"1. p",1920,272,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,30,,published,yes,1,,no,833464,instock,simple,yes,Tietokirjallisuus->Paikallishistoria,7,
