category,skip,post_title,post_content,featured_image,attributes,pa_tekija,pa_sarja,pa_kustantaja,pa_painopaikka,pa_painos,pa_painovuosi,pa_sivumaara,pa_sidosasu,pa_kieli,pa_kuntoluokka,pa_identifiointinumero,pa_varastopaikka,pa_hylly,regular_price,tags,post_status,manage_stock,stock,weight,featured,sku,stock_status,product_type,sold_individually,tax_class,post_author,product_gallery
Tietokirjallisuus->Eläintiede,Eläintiede,"Luonnon löytöjä - Lintunäkymiä ja -kuulumia","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Luonnon löytöjä.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Jussi Seppä",,WSOY,,"1. p",1928,147,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833277,instock,simple,yes,Tietokirjallisuus->Eläintiede,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Punainen rutto","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Punainen rutto.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"John Parkkila",,WSOY,,"1. p",1934,165,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833278,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Kaunokirjallisuus->Scifi,Scifi,"Kaukokuvastin eli Jooseppi Puustisen ihmeellinen seikkailu","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.",Kaukokuvastin.jpg,tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Antti Eräs",,WSOY,,"1. p",1931,99,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,20,,published,yes,1,,no,833279,instock,simple,yes,Kaunokirjallisuus->Scifi,7,
Kaunokirjallisuus->Romaanit,Romaanit,"Mnää ja Tasala Wilkk ja Hakkri Iiro - Raumlaissi jaarituksi","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Mnää ja Tasala.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Hjalmar Nortamo",,WSOY,,"2. p",1907,160,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,18,,published,yes,1,,no,833280,instock,simple,yes,Kaunokirjallisuus->Romaanit,7,
Tietokirjallisuus->Karjala,Karjala,"Laatokan laulumailta - Matkailijan opas","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Laatokan laulumailta.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Valde Näsi",,WSOY,,"1. p",1935,,"Nidottu kuvakannella",Suomi,"Normaali käytetty",,,,25,,published,yes,1,,no,833281,instock,simple,yes,Tietokirjallisuus->Karjala,7,
"Tietokirjallisuus->Lappi ja pohjoiset alueet","Lappi ja pohjoiset alueet","Tornionlaaksosta Länsi-Lappiin - Matkailijan opas","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Tornionlaaksosta Länsi-Lappiin.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Valde Näsi",,WSOY,,"1. p",1936,,"Nidottu kuvakannella",Suomi,"Kulunut käytetty",,,,25,,published,yes,1,,no,833282,instock,simple,yes,"Tietokirjallisuus->Lappi ja pohjoiset alueet",7,
Kaunokirjallisuus->Lyriikka,Lyriikka,"Valkoisen miehen vastuu","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut kappaleet saattavat olla lukemattomia, eli aukileikkaamattomia.","Valkoisen miehen taakka.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Rudyard Kipling",,WSOY,,"1. p",1976,210,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,15,,published,yes,1,,no,833283,instock,simple,yes,Kaunokirjallisuus->Lyriikka,7,
Kaunokirjallisuus->Scifi,Scifi,"Tuuli auringosta","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Tuuli auringosta.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Arthur C. Clarke",,WSOY,,"1. p",1996,291,"Sidottu kansipaperein",Suomi,"Normaali käytetty",,,,30,,published,yes,1,,no,833284,instock,simple,yes,Kaunokirjallisuus->Scifi,7,
Harrastekirjallisuus->Musiikki,Musiikki,"Suuri toivelaulukirja 9","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Suuri toivelaulukirja 9.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Aapeli Vuoristo (toim.)",,"Fazer Musiikki",,"1. p",1991,270,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,17,,published,yes,1,,no,833285,instock,simple,yes,Harrastekirjallisuus->Musiikki,7,
Harrastekirjallisuus->Musiikki,Musiikki,"Suuri toivelaulukirja 10","Huomaathan, että WSOY:n arkistokappaleissa saattaa olla leima tai lyijykynämerkintä arkistopaikasta. Nidotut, vanhat teokset saattavat olla lukemattomia, eli aukileikkaamattomia.","Suuri toivelaulukirja 10.jpg",tekija|sarja|kustantaja|painopaikka|painos|painovuosi|sivumaara|sidosasu|kieli|kuntoluokka|identifiointinumero|varastopaikka|hylly,"Heikki Uusitalo (toim.)",,"Fazer Musiikki",,"1. p",1993,295,"Sidottu kuvakannella",Suomi,"Normaali käytetty",,,,17,,published,yes,1,,no,833286,instock,simple,yes,Harrastekirjallisuus->Musiikki,7,
